Name,Description,final_model_importance,mean_outer_fold_importance,outer_folds_used
ENSG00000129538.13,RNASE1,0.0019999326,0.0012380953,1
ENSG00000238150.1,AC008753.3,0.001992374,0.0,0
ENSG00000211945.2,IGHV1-18,0.0019877926,0.0,0
ENSG00000212588.1,SNORA26,0.001979134,0.0,0
ENSG00000197566.9,ZNF624,0.0019747578,0.0,0
ENSG00000159216.18,RUNX1,0.0019711535,0.0,0
ENSG00000185482.7,STAC3,0.0019641581,0.0,0
ENSG00000204196.5,RPL12P16,0.0019512873,0.0006568049,2
ENSG00000142910.15,TINAGL1,0.0019488519,0.0,0
ENSG00000117228.9,GBP1,0.001947754,0.0,0
ENSG00000229969.1,RP11-96C23.10,0.0019402172,0.0,0
ENSG00000214485.6,RPL7P1,0.0019398395,0.0,0
ENSG00000100373.9,UPK3A,0.0019341273,0.0,0
ENSG00000241061.3,RPL5P1,0.0019260941,0.00039952062,1
ENSG00000198736.11,MSRB1,0.0019198485,0.0,0
ENSG00000071626.16,DAZAP1,0.0019132505,0.0,0
ENSG00000145850.8,TIMD4,0.0019096938,0.0,0
ENSG00000099624.7,ATP5D,0.0019050771,0.0,0
ENSG00000224041.3,IGKV3D-15,0.0019046726,0.0,0
ENSG00000204516.9,MICB,0.0019032836,0.0,0
ENSG00000271178.1,IGHV3OR16-13,0.0019014843,0.0,0
ENSG00000097096.8,SYDE2,0.0018932971,0.0,0
ENSG00000214253.8,FIS1,0.0018909574,0.0,0
ENSG00000124201.14,ZNFX1,0.0018889981,0.0,0
ENSG00000175311.6,ANKS4B,0.0018759435,0.0,0
ENSG00000253274.1,IGHV1-67,0.0018720499,0.0,0
ENSG00000154079.5,SDHAF4,0.0018658863,0.00036663114,1
ENSG00000076554.15,TPD52,0.0018637885,0.0,0
ENSG00000149527.17,PLCH2,0.0018623737,0.0,0
ENSG00000128683.13,GAD1,0.0018621644,0.0,0
ENSG00000126262.4,FFAR2,0.0018565028,0.0,0
ENSG00000085552.16,IGSF9,0.0018216437,0.0,0
ENSG00000177106.14,EPS8L2,0.0018180745,0.0,0
ENSG00000166123.13,GPT2,0.0018178709,0.0,0
ENSG00000165055.15,METTL2B,0.0018158508,0.00021094925,1
ENSG00000171847.10,FAM90A1,0.0018155025,0.0,0
ENSG00000233954.6,UQCRHL,0.001812159,0.0,0
ENSG00000271941.1,RP11-188P20.3,0.0018087175,0.0,0
ENSG00000164379.6,FOXQ1,0.0018054883,0.00041973483,1
ENSG00000101247.17,NDUFAF5,0.0018038042,0.0005146025,1
ENSG00000063587.13,ZNF275,0.0018030879,0.0,0
ENSG00000269374.1,CTB-50E14.5,0.0017983892,0.0,0
ENSG00000165233.17,CARD19,0.0017983797,0.0,0
ENSG00000185641.6,CTD-2287O16.1,0.0017866946,0.0011899187,1
ENSG00000115009.11,CCL20,0.0017865986,0.00075511105,1
ENSG00000090238.11,YPEL3,0.0017837628,0.00033539004,1
ENSG00000115935.17,WIPF1,0.0017833655,0.0,0
ENSG00000231887.6,PRH1,0.0017689862,0.0,0
ENSG00000035928.15,RFC1,0.0017580992,0.0,0
ENSG00000147614.3,ATP6V0D2,0.0017576528,0.0,0
ENSG00000167747.13,C19orf48,0.0017538269,0.0,0
ENSG00000162391.11,FAM151A,0.0017520152,0.0032244907,3
ENSG00000170471.14,RALGAPB,0.0017477879,0.0,0
ENSG00000199405.1,SNORA1,0.0017467716,0.0,0
ENSG00000205018.2,RP11-830F9.6,0.0017464829,0.0,0
ENSG00000213402.2,PTPRCAP,0.0017422927,0.0,0
ENSG00000277224.2,HIST1H2BF,0.0017383997,0.0,0
ENSG00000275454.1,CTD-2026K11.4,0.0017312353,0.0003533255,1
ENSG00000100281.13,HMGXB4,0.0017304415,0.0,0
ENSG00000255108.1,AP006621.8,0.0017264428,0.00036595896,1
ENSG00000136943.10,CTSV,0.0017228639,0.0,0
ENSG00000111843.13,TMEM14C,0.0017165075,0.0,0
ENSG00000060140.8,STYK1,0.0017164343,0.0,0
ENSG00000103168.16,TAF1C,0.0017076631,0.0,0
ENSG00000198858.9,R3HDM4,0.0016945349,0.0,0
ENSG00000220848.4,RPS18P9,0.001684256,0.00011530086,1
ENSG00000100320.22,RBFOX2,0.0016840381,0.0,0
ENSG00000170180.19,GYPA,0.001677477,0.0,0
ENSG00000113303.11,BTNL8,0.0016736572,0.0011719773,1
ENSG00000229809.8,ZNF688,0.00166314,0.0,0
ENSG00000179934.6,CCR8,0.0016473345,0.0,0
ENSG00000152818.18,UTRN,0.0016415305,0.0,0
ENSG00000160051.11,IQCC,0.0016303677,0.0,0
ENSG00000128917.6,DLL4,0.0016260941,0.0,0
ENSG00000136371.10,MTHFS,0.0016241525,0.00011543183,1
